Group Core Meaning,Word,Sense,Meaning,Source,,,,
OBVIOUS,conspicuous,,"(adj, N) attention-catchingly + obvious",BOTH,,,,
OBVIOUS,conspicuousness,,the state of being conspicuous,XLSX,,,,
OBVIOUS,discernible,,"(adj, N) detectable, perceivable",BOTH,,,,
OBVIOUS,distinguishable,,capable of being perceived as different or distinct,XLSX,,,,
OBVIOUS,eminent,,standing above others in quality or position,XLSX,,,,
OBVIOUS,evident,,clearly revealed to the mind or the senses or judgment,XLSX,,,,
OBVIOUS,eye-catching,,seizing the attention,XLSX,,,,
OBVIOUS,manifest,,"(verb/adj, N) clearly displayed + obvious | also: display (verb)",BOTH,,,,
OBVIOUS,manifestation,,a clear appearance,GREG_MAT,,,,
OBVIOUS,obvious,,easily perceived by the senses or grasped by the mind,XLSX,,,,
OBVIOUS,overt,,"(adj, N) out in the open + obvious",BOTH,,,,
OBVIOUS,patent,,"(adj, N) plainly evident + obvious",PDF,,,,
OBVIOUS,perceptible,,capable of being perceived by the mind or senses,XLSX,,,,
OBVIOUS,prominence,,the state of being prominent: widely known or eminent,XLSX,,,,
OBVIOUS,prominent,,having a quality that thrusts itself into attention,XLSX,,,,
OBVIOUS,salience,,the state of being salient,XLSX,,,,
OBVIOUS,salient,,(military) the part of the line of battle that projects closest to the enemy,XLSX,,,,
OBVIOUS,self-evident,,evident without proof or argument,XLSX,,,,
OBVIOUS,unmistakable,,clearly evident to the mind,XLSX,,,,
OFFENSE / VIOLATION,contravene,,"(verb, -ve) violate, go against (a rule)",BOTH,,,,
OFFENSE / VIOLATION,malfeasance,,"(noun, -ve) official misconduct by someone in power",BOTH,,,,
OFFENSE / VIOLATION,peccadillo,,"(noun, N) a minor, forgivable + offense / violation",PDF,,,,
OFFENSE / VIOLATION,transgress,,"act in disregard of laws, rules, contracts, or promises",XLSX,,,,
OFFENSE / VIOLATION,transgression,,"(noun, -ve) a serious + offense / violation",PDF,,,,
OFFENSE / VIOLATION,violate,,fail to agree with; be in violation of; as of rules or patterns,XLSX,,,,
OFFENSE / VIOLATION,violation,,a crime less serious than a felony,XLSX,,,,
OMINOUS / FOREBODING,doom,,an unpleasant or disastrous destiny,XLSX,,,,
OMINOUS / FOREBODING,inauspicious,,not auspicious; boding ill,XLSX,,,,
OMINOUS / FOREBODING,portent,,a sign of something about to happen,XLSX,,,,
OMINOUS / FOREBODING,unpropitious,,not propitious,XLSX,,,,
OMIT / EXCLUDE,omit,,"(verb, N) leave out",BOTH,,,,
OMIT / EXCLUDE,spare,,an extra component of a machine or other apparatus,XLSX,,,,
ORDINARY / DULL,commonplace,,a trite or obvious remark,XLSX,,,,
ORDINARY / DULL,humdrum,,"(adj, -ve) monotonously + ordinary / dull",PDF,,,,
ORDINARY / DULL,mundane,,"(adj, -ve) boringly + ordinary / dull",BOTH,,,,
ORDINARY / DULL,mundanity,,the quality or character of being intellectually sophisticated and worldly through cultivation or experience or disillusionment,GREG_MAT,,,,
ORDINARY / DULL,nondescript,,a person is not easily classified and not very interesting,XLSX,,,,
ORDINARY / DULL,pedestrian,,"(adj, -ve) unimaginatively + ordinary / dull",BOTH,,,,
ORDINARY / DULL,prosaic,,"(adj, -ve) flatly, unpoetically + ordinary / dull",BOTH,,,,
ORDINARY / DULL,unexceptional,,not special in any way,XLSX,,,,
ORDINARY / DULL,unremarkable,,found in the ordinary course of events; ; ; - Anita Diamant,XLSX,,,,
ORNATE / DECORATIVE,adornment,,a decoration of color or interest that is added to relieve plainness,XLSX,,,,
ORNATE / DECORATIVE,polish,,the property of being smooth and shiny,XLSX,,,,
ORTHODOX / RIGID,conformity,,correspondence in form or appearance,XLSX,,,,
ORTHODOX / RIGID,conventional,,"(adj, N) traditionally + ordinary / dull",BOTH,,,,
ORTHODOX / RIGID,orthodox,,of or pertaining to or characteristic of Judaism,XLSX,,,,
ORTHODOX / RIGID,traditional,,consisting of or derived from tradition,XLSX,,,,
ORTHODOX / RIGID,traditionalist,,one who adheres to traditional views,XLSX,,,,
OUTDATED,anachronism,,something located at a time when it could not have existed or occurred,XLSX,,,,
OUTDATED,anachronistic,,"(adj, -ve) wrong-time-period + outdated",BOTH,,,,
OUTDATED,ancient,,a very old person,XLSX,,,,
OUTDATED,antediluvian,,any of the early patriarchs who lived prior to the Noachian deluge,XLSX,,,,
OUTDATED,antiquate,,make obsolete or old-fashioned,XLSX,,,,
OUTDATED,archaic,,"(adj, -ve) ancient-era + outdated",BOTH,,,,
OUTDATED,dowdy,,"(adj, -ve) drably + unfashionable",PDF,,,,
OUTDATED,fusty,,stale and unclean smelling,XLSX,,,,
OUTDATED,long-abandoned,,trend; fashion,XLSX,,,,
OUTDATED,obsolete,,"(adj, -ve) no longer used + outdated",BOTH,,,,
OUTDATED,old-fashioned,,out of fashion,XLSX,,,,
OUTDATED,outdated,,old; no longer valid or fashionable,XLSX,,,,
OUTDATED,outmode,,"make unfashionable, outdated, or obsolete",XLSX,,,,
OUTDATED,unfashionable,,not in accord with or not following current fashion,XLSX,,,,
OUTDATED,vestigial,,"(adj, N) a leftover remnant + outdated",PDF,,,,
OVERLOOK / IGNORE,inattention,,lack of attention,XLSX,,,,
OVERLOOK / IGNORE,inattentive,,showing a lack of attention or care,XLSX,,,,
OVERLOOK / IGNORE,oblivious,,"(adj, -ve) unaware, heedlessly forgetful",BOTH,,,,
OVERLOOK / IGNORE,oversight,,an unintentional omission resulting from failure to notice something,XLSX,,,,
PARADOX / CONTRADICTION,antithesis,,"(noun, N) the direct opposite",BOTH,,,,
PARADOX / CONTRADICTION,antithetical,,sharply contrasted in character or purpose,XLSX,,,,
PARADOX / CONTRADICTION,contradiction,,opposition between two conflicting forces or ideas,XLSX,,,,
PARADOX / CONTRADICTION,counterintuitive,,contrary to what common sense would suggest,XLSX,,,,
PARADOX / CONTRADICTION,incompatibility,,the relation between propositions that cannot both be true at the same time,XLSX,,,,
PARADOX / CONTRADICTION,paradox,,(logic) a statement that contradicts itself,XLSX,,,,
PARTICULAR / SPECIFIC,distinctiveness,,a distinguishing trait,XLSX,,,,
PARTICULAR / SPECIFIC,individualization,,discriminating the individual from the generic group or species,XLSX,,,,
PARTICULAR / SPECIFIC,particularize,,be specific about,XLSX,,,,
PARTICULAR / SPECIFIC,specialization,,the act of specializing; making something suitable for a special purpose,XLSX,,,,
PARTICULAR / SPECIFIC,specialize,,become more focus on an area of activity or field of study,XLSX,,,,
PASSIONATE / EAGER,ardent,,"(adj, +ve) warmly + passionate / eager",PDF,,,,
PASSIONATE / EAGER,avid,,"(adj, +ve) eagerly + passionate / eager",PDF,,,,
PASSIONATE / EAGER,eager,,a high wave (often dangerous) caused by tidal flow (as by colliding tidal currents or in a narrow estuary),XLSX,,,,
PASSIONATE / EAGER,enthusiasm,,a feeling of excitement,XLSX,,,,
PASSIONATE / EAGER,enthusiastic,,having or showing great excitement and interest,XLSX,,,,
PASSIONATE / EAGER,fervent,,"(adj, +ve) intensely + passionate / eager",PDF,,,,
PASSIONATE / EAGER,fervid,,"(adj, N) overheatedly (can imply excess) + passionate / eager",PDF,,,,
PASSIONATE / EAGER,fervor,,"(noun, +ve) burning passion (noun) + passionate / eager",BOTH,,,,
PASSIONATE / EAGER,fiery,,characterized by intense emotion,XLSX,,,,
PASSIONATE / EAGER,impassioned,,characterized by intense emotion,XLSX,,,,
PASSIONATE / EAGER,vehement,,marked by extreme intensity of emotions or convictions; inclined to react violently; fervid,XLSX,,,,
PASSIONATE / EAGER,zealot,,a member of an ancient Jewish sect in Judea in the first century who fought to the death against the Romans and who killed or persecuted Jews who collaborated with the Romans,XLSX,,,,
PASSIONATE / EAGER,zealotry,,excessive intolerance of opposing views,XLSX,,,,
PASSIONATE / EAGER,zealous,,"(adj, N) crusadingly (can tip into fanaticism) + passionate / eager",BOTH,,,,
PERCEPTIVE / INSIGHTFUL,acute,,a mark (') placed above a vowel to indicate pronunciation,XLSX,,,,
PERCEPTIVE / INSIGHTFUL,incisive,,having or demonstrating ability to recognize or draw fine distinctions,XLSX,,,,
PERCEPTIVE / INSIGHTFUL,insightful,,exhibiting insight or clear and deep perception; ; -R.C.Angell,XLSX,,,,
PERCEPTIVE / INSIGHTFUL,insightfully,,perceptive; insightful,XLSX,,,,
PERCEPTIVE / INSIGHTFUL,keen,,"(adj/verb, +ve) eager | sharply acute",BOTH,,,,
PERCEPTIVE / INSIGHTFUL,keenness,,a quick and penetrating intelligence,XLSX,,,,
PERCEPTIVE / INSIGHTFUL,penetrating,,"(adj, +ve) deeply piercing + perceptive / insightful",PDF,,,,
PERCEPTIVE / INSIGHTFUL,perceptive,,of or relating to perception,XLSX,,,,
PERCEPTIVE / INSIGHTFUL,profound,,"(adj, +ve) deeply + perceptive / insightful",BOTH,,,,
PERCEPTIVE / INSIGHTFUL,profundity,,"(noun, +ve) depth of + keen insight",BOTH,,,,
PETTY,quibble,,"(verb/noun, -ve) a petty objection over trifles",PDF,,,,
PETTY,quibbler,,a disputant who quibbles; someone who raises annoying petty objections,XLSX,,,,
PHILOSOPHER,empiricist,,a philosopher who subscribes to empiricism,XLSX,,,,
PHILOSOPHER,realist,,a philosopher who believes that universals are real and exist independently of anyone thinking of them,XLSX,,,,
PHYSICAL / TOUCHABLE,concrete,,a strong hard building material composed of sand and gravel and cement and water,XLSX,,,,
PHYSICAL / TOUCHABLE,corporeal,,"(adj, N) bodily + physical / touchable",PDF,,,,
PHYSICAL / TOUCHABLE,palpable,,"(adj, N) almost-touchably obvious + physical / touchable",BOTH,,,,
PHYSICAL / TOUCHABLE,substantial,,fairly large,XLSX,,,,
PHYSICAL / TOUCHABLE,tangible,,"(adj, N) concretely + physical / touchable",BOTH,,,,
PICKY / FASTIDIOUS,finicky,,"(adj, -ve) fussily hard to please",BOTH,,,,
PICKY / FASTIDIOUS,pedant,-,a person who pays more attention to formal rules and book learning than they merit,XLSX,,,,
PICKY / FASTIDIOUS,picky,,exacting especially about details,XLSX,,,,
PLAIN / FRUGAL,abstemious,,sparing in consumption of especially food and drink; - John Galsworthy,XLSX,,,,
PLAIN / FRUGAL,abstemiousness,,restricted to bare necessities,XLSX,,,,
PLAIN / FRUGAL,abstinence,,the trait of abstaining (especially from alcohol),XLSX,,,,
PLAIN / FRUGAL,ascetic,,"(adj/noun, N) severely self-denying | one who renounces comforts",BOTH,,,,
PLAIN / FRUGAL,austere,,"(adj, N) sternly + plain / frugal",BOTH,,,,
PLAIN / FRUGAL,austerity,,the trait of great self-denial (especially refraining from worldly pleasures),XLSX,,,,
PLAIN / FRUGAL,spartan,,"(adj, N) disciplined, bare-bones + plain / frugal",BOTH,,,,
PLAIN / FRUGAL,thrift,,any of numerous sun-loving low-growing evergreens of the genus Armeria having round heads of pink or white flowers,XLSX,,,,
PLAIN / RESTRAINED,subdued,,"(adj, N) mutedly + plain / restrained",PDF,,,,
PLAIN / RESTRAINED,unadorned,,"(adj, N) undecoratedly + plain / restrained",PDF,,,,
PLAIN / RESTRAINED,understated,,"(adj, +ve) subtly, tastefully + plain / restrained",PDF,,,,
PLAIN / RESTRAINED,unostentatious,,not ostentatious,XLSX,,,,
PLEDGE / VOW,assure,,make certain of,XLSX,,,,
PLEDGE / VOW,aver,,"(verb, N) confidently assert + confirm / prove",BOTH,,,,
PLEDGE / VOW,avow,,to declare or affirm solemnly and formally as true,XLSX,,,,
PLEDGE / VOW,pledge,,a deposit of personal property as security for a debt,XLSX,,,,
PLEDGE / VOW,proclaim,,declare formally; declare someone to be something; of titles,XLSX,,,,
PLEDGE / VOW,profess,,"practice as a profession, teach, or claim to be knowledgeable about",XLSX,,,,
PLEDGE / VOW,stipulate,,specify as a condition or requirement in a contract or agreement; make an express demand or provision in an agreement,XLSX,,,,
PLEDGE / VOW,warrant,,a writ from a court commanding police to perform specified acts,XLSX,,,,
PLOT SECRETLY,collude,,"(verb, -ve) (in wrongdoing) + plot secretly",PDF,,,,
PLOT SECRETLY,collusion,,secret agreement,GREG_MAT,,,,
PLOT SECRETLY,conspiracy,,a secret agreement between two or more people to perform an unlawful act,GREG_MAT,,,,
PLOT SECRETLY,conspire,,"(verb, -ve) scheme together + plot secretly",PDF,,,,
PLOT SECRETLY,intrigue,,"(noun/verb, N) a secret scheme (-ve) | fascinate (+ve)",BOTH,,,,
PONDER / REFLECT,cogitate,,"(verb, N) deeply think + ponder / reflect",PDF,,,,
PONDER / REFLECT,contemplate,,"(verb, N) consider at length + ponder / reflect",BOTH,,,,
PONDER / REFLECT,deliberate,,"(adj/verb, N) weigh carefully + ponder / reflect | also: intentional (adj)",BOTH,,,,
PONDER / REFLECT,introspection,,the contemplation of your own thoughts and desires and conduct,XLSX,,,,
PONDER / REFLECT,introspective,,given to examining own sensory and perceptual experiences,XLSX,,,,
PONDER / REFLECT,pensive,,"(adj, N) wistfully thoughtful (adj) + ponder / reflect",PDF,,,,
PONDER / REFLECT,pensiveness,,persistent morbid meditation on a problem,XLSX,,,,
PONDER / REFLECT,ponder,,reflect deeply on a subject,XLSX,,,,
PONDER / REFLECT,reflect,,"(verb, N) look back and think + ponder / reflect | also: mirror",BOTH,,,,
PONDER / REFLECT,ruminate,,"(verb, N) chew over repeatedly + ponder / reflect",PDF,,,,
PONDER / REFLECT,rumination,,"a calm, lengthy, intent consideration",GREG_MAT,,,,
PRACTICAL,expedient,,"(adj/noun, N) conveniently (over what's right) + practical",PDF,,,,
PRACTICAL,functional,,designed for or capable of a particular function or use,XLSX,,,,
PRACTICAL,practical,,concerned with actual use or practice,XLSX,,,,
PRACTICAL,pragmatic,,an imperial decree that becomes part of the fundamental law of the land,XLSX,,,,
PRACTICAL,pragmatism,,(philosophy) the doctrine that practical consequences are the criteria of knowledge and meaning and value,XLSX,,,,
PRACTICAL,pragmatist,,an adherent of philosophical pragmatism,XLSX,,,,
PRACTICAL,prudence,,discretion in practical affairs,GREG_MAT,,,,
PRACTICAL,utilitarian,,"(adj, N) functionally + practical",BOTH,,,,
PRACTICAL,utilitarianism,,doctrine that the useful is the good; especially as elaborated by Jeremy Bentham and James Mill; the aim was said to be the greatest happiness for the greatest number,XLSX,,,,
PRAISE,acclaim,,"(noun/verb, +ve) public, applauding + praise",BOTH,,,,
PRAISE,acclamation,,enthusiastic approval,XLSX,,,,
PRAISE,adulate,,flatter in an obsequious manner,XLSX,,,,
PRAISE,adulation,,servile flattery; exaggerated and hypocritical praise,XLSX,,,,
PRAISE,applaud,,clap one's hands or shout after performances to indicate approval,XLSX,,,,
PRAISE,approbation,,"(noun, +ve) official, approving + praise",BOTH,,,,
PRAISE,approbatory,,expressing or manifesting praise or approval,XLSX,,,,
PRAISE,celebrate,,behave as expected during of holidays or rites,XLSX,,,,
PRAISE,commemorate,,mark by some ceremony or observation,XLSX,,,,
PRAISE,commend,,express approval of,XLSX,,,,
PRAISE,commendation,,an official award (as for bravery or service) usually given as formal public statement,XLSX,,,,
PRAISE,compliment,,a remark (or act) expressing praise and admiration,XLSX,,,,
PRAISE,complimentary,,conveying or resembling a compliment,XLSX,,,,
PRAISE,eminence,,high status importance owing to marked superiority,XLSX,,,,
PRAISE,encomium,,a formal expression of praise,XLSX,,,,
PRAISE,esteem,,the condition of being honored (esteemed or respected or well regarded),XLSX,,,,
PRAISE,eulogize,,praise formally and eloquently,XLSX,,,,
PRAISE,exalt,,"praise, glorify, or honor",XLSX,,,,
PRAISE,extol,,"(verb, +ve) glowingly (verb) + praise",BOTH,,,,
PRAISE,gild,,a formal association of people with similar interests,XLSX,,,,
PRAISE,glorification,,a state of high honor,XLSX,,,,
PRAISE,hail,,precipitation of ice pellets when there are strong rising air currents,XLSX,,,,
PRAISE,honor,,a tangible symbol signifying approval or distinction,XLSX,,,,
PRAISE,honorific,,an expression of respect,XLSX,,,,
PRAISE,laud,,"praise, glorify, or honor",XLSX,,,,
PRAISE,lionize,,"(verb, N) celebrity-worship (can imply excess) + praise",BOTH,,,,
PRAISE,panegyric,,a formal expression of praise,XLSX,,,,
PRAISE,revere,,American silversmith remembered for his midnight ride (celebrated in a poem by Longfellow) to warn the colonists in Lexington and Concord that British troops were coming (1735-1818),GREG_MAT,,,,
PRAISE,reverence,,a feeling of profound respect for someone or something,XLSX,,,,
PRAISE,tout,,"(verb, N) promote loudly (often hype) + praise",BOTH,,,,
PRAISE,tribute,,something given or done as an expression of esteem,XLSX,,,,
PRAISE,trumpet,,a brass musical instrument with a brilliant tone; has a narrow tube and a flared bell and is played by means of valves,XLSX,,,,
PRAISE,veneration,,a feeling of profound respect for someone or something,XLSX,,,,
PRAISEWORTHY,admirable,,deserving of the highest esteem or admiration,XLSX,,,,
PRAISEWORTHY,estimable,,"(adj, +ve) admirably worthy + praiseworthy",BOTH,,,,
PRAISEWORTHY,exemplary,,worthy of imitation,XLSX,,,,
PRAISEWORTHY,laudable,,"(adj, +ve) worthy of (adj) + praise",BOTH,,,,
PRAISEWORTHY,meritorious,,"(adj, +ve) deservingly + praiseworthy",PDF,,,,
PRAISEWORTHY,praiseworthy,,worthy of high praise,XLSX,,,,
PRECURSOR / FORERUNNER,antedate,,"(verb, N) come before in time, precede",BOTH,,,,
PRECURSOR / FORERUNNER,forerunner,,a person who goes before or announces the coming of another,XLSX,,,,
PRECURSOR / FORERUNNER,precede,,be earlier in time; go back further,XLSX,,,,
PRECURSOR / FORERUNNER,precedent,,an example that is used to justify similar occurrences at a later time,XLSX,,,,
PRECURSOR / FORERUNNER,precursor,,a substance from which another substance is formed (especially by a metabolic reaction),XLSX,,,,
PRECURSOR / FORERUNNER,predate,,be earlier in time; go back further,XLSX,,,,
PREDICAMENT,conundrum,,"(noun, N) a puzzling riddle or problem",BOTH,,,,
PREDICAMENT,dilemma,,state of uncertainty or perplexity especially as requiring a choice between equally unfavorable options,XLSX,,,,
PREDICAMENT,imbroglio,,"(noun, -ve) a messy entanglement + predicament",PDF,,,,
PREDICAMENT,predicament,,"(noun, -ve) a difficult + predicament",PDF,,,,
PREDICAMENT,quandary,,"(noun, -ve) a which-way dilemma + predicament",BOTH,,,,
PREVENT,avert,,"(verb, +ve) (a disaster) + prevent | also: turn away",BOTH,,,,
PREVENT,deter,,"(verb, N) discourage from acting + prevent",BOTH,,,,
PREVENT,foil,,"(verb/noun, N) thwart (a plan) + prevent | also: a contrast",PDF,,,,
PREVENT,forestall,,"(verb, N) by acting first + prevent",BOTH,,,,
PREVENT,obviate,,"(verb, +ve) eliminate the need for + prevent",BOTH,,,,
PREVENT,preclude,,"(verb, N) rule out in advance + prevent",BOTH,,,,
PREVENT,preempt,,a high bid that is intended to prevent the opposing players from bidding,XLSX,,,,
PREVENT,prevent,,keep from happening or arising; make impossible,XLSX,,,,
PREVENT,preventive,,remedy that prevents or slows the course of an illness or disease,XLSX,,,,
PREVENT,prophylactic,,remedy that prevents or slows the course of an illness or disease,XLSX,,,,
PREVENT,stave,,(music) the system of five horizontal lines on which the musical notes are written,XLSX,,,,
PREVENT,thwart,,a crosspiece spreading the gunnels of a boat; used as a seat in a rowboat,XLSX,,,,
PROLONG / PERPETUATE,elongate,,make long or longer by pulling and stretching,XLSX,,,,
PROLONG / PERPETUATE,perpetuate,,"(verb, -ve) keep (usu. something bad) going indefinitely",BOTH,,,,
PROLONG / PERPETUATE,prolong,,lengthen in time; cause to be or last longer,XLSX,,,,
PROLONG / PERPETUATE,self-perpetuating,,prolong; perpetuate,XLSX,,,,
PROMOTE / ADVOCATE,advocate,,"(verb/noun, +ve) argue for, back + support",BOTH,,,,
PROMOTE / ADVOCATE,endorse,,be behind; approve of,XLSX,,,,
PROMOTE / ADVOCATE,endorsement,,a promotional statement (as found on the dust jackets of books),XLSX,,,,
PROMOTE / ADVOCATE,espouse,,"choose and follow; as of theories, ideas, policies, strategies or plans",XLSX,,,,
PROMOTE / ADVOCATE,sanction,,"(verb/noun, N) officially approve | penalize (two opposite senses!)",BOTH,,,,
PROMOTE / FOSTER,cultivate,,foster the growth of,XLSX,,,,
PROMOTE / FOSTER,foster,,United States songwriter whose songs embody the sentiment of the South before the American Civil War (1826-1864),XLSX,,,,
PROPER CONDUCT,comportment,,dignified manner or conduct,XLSX,,,,
PROPER CONDUCT,deportment,,"(noun, N) one's bearing and + proper conduct",PDF,,,,
PROPER CONDUCT,propriety,,"(noun, +ve) socially correct + proper conduct",BOTH,,,,
PROPER CONDUCT,protocol,,(computer science) rules determining the format and transmission of data,XLSX,,,,
PROSAIC / COMMONPLACE,average,,a statistic describing the location of a distribution,XLSX,,,,
PROSAIC / COMMONPLACE,customary,,in accordance with convention or custom,XLSX,,,,
PROSAIC / COMMONPLACE,typical,,exhibiting the qualities or characteristics that identify a group or kind or category,XLSX,,,,
PROSPECT / OUTLOOK,foreseeable,,"(adj, N) predictable, anticipated",BOTH,,,,
PROSPECT / OUTLOOK,prospect,,the possibility of future success,XLSX,,,,
PROSPECT / OUTLOOK,purview,,the range of interest or activity that can be anticipated,XLSX,,,,
PROTECT / SAFEGUARD,conservation,,an occurrence of improvement by virtue of preventing loss or injury or other change,XLSX,,,,
PROTECT / SAFEGUARD,guard,,a person who keeps watch over something or someone,XLSX,,,,
PROTECT / SAFEGUARD,guardian,,a person who cares for persons or property,XLSX,,,,
PROTECT / SAFEGUARD,insulate,,"protect from heat, cold, or noise by surrounding with insulating material",XLSX,,,,
PROTECT / SAFEGUARD,preservation,,the activity of protecting something from loss or danger,XLSX,,,,
PROTECT / SAFEGUARD,refuge,,a safe place,XLSX,,,,
PROTECT / SAFEGUARD,safeguard,,a precautionary measure warding off impending danger or damage or injury etc.,XLSX,,,,
PROVOKE / STIR UP,agitate,,"(verb, -ve) stir up, disturb + provoke / stir up",PDF,,,,
PROVOKE / STIR UP,antagonize,,"(verb, -ve) provoke hostility + provoke / stir up",PDF,,,,
PROVOKE / STIR UP,foment,,"(verb, -ve) brew (rebellion, discord) + provoke / stir up",BOTH,,,,
PROVOKE / STIR UP,goad,,"(verb, -ve) prod repeatedly + provoke / stir up",PDF,,,,
PROVOKE / STIR UP,incendiary,,"(adj, -ve) inflammatorily provocative",BOTH,,,,
PROVOKE / STIR UP,incite,,"(verb, -ve) instigate (trouble) + provoke / stir up",BOTH,,,,
PROVOKE / STIR UP,inflammatory,,characterized or caused by inflammation,XLSX,,,,
PROVOKE / STIR UP,instigate,,provoke or stir up,XLSX,,,,
PROVOKE / STIR UP,instigation,,the verbal act of urging on,XLSX,,,,
PROVOKE / STIR UP,provocation,,unfriendly behavior that causes anger or resentment,XLSX,,,,
PROVOKE / STIR UP,provocative,,"(adj, N) thought-stimulating (+ve) | inflammatory (-ve)",BOTH,,,,
PURE / UNTOUCHED,immaculate,,"(adj, +ve) spotlessly flawless + pure / untouched",PDF,,,,
PURE / UNTOUCHED,inviolate,,"(adj, +ve) sacredly untouched + pure / untouched",PDF,,,,
PURE / UNTOUCHED,pristine,,"(adj, +ve) perfectly + pure / untouched",BOTH,,,,
PURE / UNTOUCHED,purity,,being undiluted or unmixed with extraneous material,XLSX,,,,
PURE / UNTOUCHED,unalloyed,,"(adj, +ve) unmixed, complete + pure / untouched",BOTH,,,,
PURE / UNTOUCHED,unblemished,,free from physical or moral spots or stains,XLSX,,,,
QUARRELSOME,contentious,,"(adj, -ve) controversy-stirring + quarrelsome",BOTH,,,,
QUARRELSOME,contentiousness,,an inclination to be quarrelsome and contentious,XLSX,,,,
QUARRELSOME,divisive,,dissenting (especially dissenting with the majority opinion),XLSX,,,,
QUARRELSOME,factious,,"(adj, -ve) faction-splittingly divisive + quarrelsome",PDF,,,,
QUARRELSOME,fractious,,"(adj, -ve) quarrelsomely + irritable",BOTH,,,,
QUIET / RESERVED,reserve,,formality and propriety of manner,XLSX,,,,
QUIET / RESERVED,reticence,,the trait of being uncommunicative; not volunteering anything more than necessary,XLSX,,,,
QUIET / RESERVED,reticent,,"(adj, N) reluctant to share, holding back + quiet / reserved",BOTH,,,,
QUIET / RESERVED,taciturn,,"(adj, N) habitually, by nature + quiet / reserved",BOTH,,,,
QUIET / RESERVED,taciturnity,,the trait of being uncommunicative; not volunteering anything more than necessary,GREG_MAT,,,,
QUIET / RESERVED,terse,,"(adj, N) curtly brief (can feel rude) + quiet / reserved",PDF,,,,
RANDOM / UNPLANNED,aimlessness,,the quality of lacking any definite purpose,XLSX,,,,
RANDOM / UNPLANNED,arbitrariness,,the trait of acting unpredictably and more from whim or caprice than from reason or judgment,XLSX,,,,
RANDOM / UNPLANNED,arbitrary,,"(adj, -ve) whim-based + random / unplanned",BOTH,,,,
RANDOM / UNPLANNED,haphazard,,"(adj, -ve) disorganizedly + random / unplanned",BOTH,,,,
RANDOM / UNPLANNED,haphazardly,,in a random manner,XLSX,,,,
RANDOM / UNPLANNED,indiscriminate,,"(adj, -ve) unselectively + random / unplanned",BOTH,,,,
RANDOM / UNPLANNED,random,,lacking any definite plan or order or purpose; governed by or depending on chance,XLSX,,,,
RANDOM / UNPLANNED,randomly,,in a random manner,XLSX,,,,
RANDOM / UNPLANNED,randomness,,(thermodynamics) a thermodynamic quantity representing the amount of energy in a system that is no longer available for doing mechanical work,XLSX,,,,
RANT / ATTACK-SPEECH,assail,,"(verb, -ve) fiercely + attack",PDF,,,,
RANT / ATTACK-SPEECH,diatribe,,"(noun, -ve) a bitter written/spoken + rant / attack-speech",BOTH,,,,
RANT / ATTACK-SPEECH,harangue,,"(noun/verb, -ve) a lecturing, aggressive + rant / attack-speech",PDF,,,,
RANT / ATTACK-SPEECH,invective,,abusive or venomous language used to express blame or censure or bitter deep-seated ill will,XLSX,,,,
RANT / ATTACK-SPEECH,jeremiad,,a long and mournful complaint,XLSX,,,,
RANT / ATTACK-SPEECH,polemic,,a writer who argues in opposition to others (especially in theology),GREG_MAT,,,,
RANT / ATTACK-SPEECH,polemical,,"(adj, N) aggressively argumentative (adj) + rant / attack-speech",BOTH,,,,
RANT / ATTACK-SPEECH,rant,,a loud bombastic declamation expressed with strong emotion,XLSX,,,,
RANT / ATTACK-SPEECH,tirade,,"(noun, -ve) an angry, long + rant / attack-speech",PDF,,,,
REBELLIOUS,anarchistic,,of or related to anarchism or tending toward anarchism,XLSX,,,,
REBELLIOUS,defy,,resist or confront with resistance,XLSX,,,,
REBELLIOUS,dissident,,"(noun/adj, N) a principled dissenter (noun) + rebellious",BOTH,,,,
REBELLIOUS,errant,,straying from the right course or from accepted standards,XLSX,,,,
REBELLIOUS,flout,,"(verb, -ve) openly defy rules (verb) + rebellious",BOTH,,,,
REBELLIOUS,irreverent,,"(adj, N) mockingly (toward authority; can be playful) + rude",BOTH,,,,
REBELLIOUS,mutinous,,disposed to or in a state of mutiny,GREG_MAT,,,,
REBELLIOUS,mutiny,,"(noun/verb, -ve) organized revolt (noun/verb) + rebellious",PDF,,,,
REBELLIOUS,radicalism,,the political orientation of those who favor revolutionary change in government and society,XLSX,,,,
REBELLIOUS,revolt,,organized opposition to authority; a conflict in which one faction tries to wrest control from another,XLSX,,,,
REBELLIOUS,revolution,,a drastic and far-reaching change in ways of thinking and behaving,XLSX,,,,
REBELLIOUS,seditious,,arousing to action or rebellion,XLSX,,,,
REBELLIOUS,subversiveness,,disloyalty by virtue of subversive behavior,XLSX,,,,
REBELLIOUS,truculence,,obstreperous and defiant aggressiveness,GREG_MAT,,,,
REBELLIOUS,unruliness,,the trait of being prone to disobedience and lack of discipline,XLSX,,,,
REBELLIOUS,wayward,,"(adj, -ve) disobediently straying + stubborn",BOTH,,,,
REFINED / SOPHISTICATED,elegant,,refined and tasteful in appearance or behavior or style,XLSX,,,,
REFINED / SOPHISTICATED,refinement,,a highly developed state of perfection; having a flawless or impeccable quality; ; ; --Joseph Conrad,XLSX,,,,
REFINED / SOPHISTICATED,sophisticated,,"(adj, +ve) worldly + refined / sophisticated | also: complex",PDF,,,,
